id,imdb_id,title,tagline,overview,poster_path,backdrop_path,release_date,vote_average,vote_count,genres,budget,revenue,runtime,rating_band
122081,tt2101441,Spring Breakers,A little sun can bring out your dark side.,"After four college girls rob a restaurant to fund their spring break in Florida, they get entangled with a weird dude with his own criminal agenda.",/9tyPnyEkL44qbAliM9jMRWc6bjg.jpg,/4jOyGoVluNVNRxDDcxsF5IPGgYl.jpg,2013-03-06,5.254,4007,"['Drama', 'Crime']",5000000,32016127,94,low
8645,tt0949731,The Happening,We've sensed it. We've seen the signs. Now...it's happening.,"When a deadly airborne virus threatens to wipe out the northeastern United States, teacher Elliot Moore and his wife Alma flee from contaminated cities into the countryside in a fight to discover the truth. Is it terrorism, the accidental release of some toxic military bio weapon -- or something even more sinister?",/fP4nBrtmc0teSDDHzYmDE7TLQBT.jpg,/6moXpp6y1EZ6pfnSxnKFMrbFnWv.jpg,2008-06-11,5.395,3910,"['Thriller', 'Science Fiction']",60000000,163403799,90,low
314,tt0327554,Catwoman,You can’t CATch her.,"Liquidated after discovering a corporate conspiracy, mild-mannered graphic artist Patience Phillips washes up on an island, where she's resurrected and endowed with the prowess of a cat — and she's eager to use her new skills... as a vigilante. Before you can say ""cat and mouse"", handsome gumshoe Tom Lone is on her tail, fascinated by both of her personas.",/pvnPgukFyEKgCzyOxyLiwyZ8T1C.jpg,/wbwHIbOAAYHqhsaFFsFQV62Wr6.jpg,2004-07-22,4.617,3552,"['Action', 'Fantasy', 'Crime']",100000000,82102379,104,low
4257,tt0362120,Scary Movie 4,Bury the grudge. Burn the village. See the saw.,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",/sEqFdw1wLtY94RKCSPolsHWzn6r.jpg,/uFcFomOJbRHGsPId6U4Xcdacvt1.jpg,2006-04-12,5.486,3540,['Comedy'],40000000,178710620,83,low
263472,tt3605418,Knock Knock,One night can cost you everything.,"When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse.",/cUC4rUb1Cs2KMaZ6RD4uYUEEwls.jpg,/9DclZBBDxMrbcqNS81Pjz8opZTW.jpg,2015-06-26,5.385,3455,"['Horror', 'Thriller']",10000000,6341684,99,low
2486,tt0449010,Eragon,"As darkness falls, the last dragon will choose its rider.","In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king.",/mNu6QLUnKqPIjRA3pgEb5dkJye6.jpg,/2GB3sdsWn3drlkwGMMNQ3KFNbIV.jpg,2006-12-14,5.124,3425,"['Fantasy', 'Action', 'Adventure', 'Family']",100000000,250425512,104,low
378236,tt4877122,The Emoji Movie,An adventure beyond words.,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",/60bTx5z9zL1AqCjZ0gmWoRMJ6Bb.jpg,/kTrgxhRSj2sun89bDbnGCPBiey6.jpg,2017-07-23,5.4,3297,"['Animation', 'Family', 'Comedy']",50000000,216909830,86,low
440,tt0758730,Aliens vs Predator: Requiem,On Earth everyone can hear you scream.,"After a horrifying PredAlien crash-lands near a small Colorado town, killing everyone it encounters and producing countless Alien offspring, a lone Predator arrives to ""clean up"" the infestation.",/5iTwPDNtvK6ZZF607BHBbU3HO0B.jpg,/jXntuh47VtKLeoyBQ268rv24Igw.jpg,2007-12-25,5.181,3277,"['Action', 'Science Fiction', 'Thriller', 'Horror']",40000000,130290885,94,low
9471,tt0305357,Charlie's Angels: Full Throttle,This summer the Angels are back.,"The Angels are charged with finding a pair of missing rings that are encoded with the personal information of members of the Witness Protection Program. As informants are killed, the ladies target a rogue agent who might be responsible.",/n4cdJ0Wqxb7C0HmZbcaC4eYnkIf.jpg,/rS3QJdsCPyhhQ0mJEr8VirNmOMm.jpg,2003-06-25,5.484,3263,"['Action', 'Adventure', 'Comedy']",120000000,259175788,106,low
7840,tt0443649,"10,000 BC",The legend. The battle. The first hero.,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,/9I7gV6wRbGnbfI3XOKjHeLMjYEo.jpg,/jdmRey22HOSyfL44PbYYImZUk3L.jpg,2008-03-04,5.498,3142,"['Adventure', 'Action', 'Drama', 'Fantasy']",105000000,269784201,109,low
