id,imdb_id,title,tagline,overview,poster_path,backdrop_path,release_date,vote_average,vote_count,genres,budget,revenue,runtime
128,tt0119698,Princess Mononoke,The fate of the world rests on the courage of one warrior.,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",/cMYCDADoLKLbB83g4WnJegaZimC.jpg,/gl0jzn4BupSbL2qMVeqrjKkF9Js.jpg,1997-07-12,8.326,8615,"['Adventure', 'Fantasy', 'Animation']",23500000,176506186,134
620249,tt10734928,The Legend of Hei,One Small Spirit Will Determine the Fate of the World.,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",/4jfbKKLpqts3i2h2obkrONcjTg1.jpg,/aVFx1VtlOxR3v0ADEatalXOvwbu.jpg,2019-08-27,8.3,419,"['Animation', 'Fantasy', 'Action']",0,48045728,102
105,tt0088763,Back to the Future,He was never in time for his classes... He wasn't in time for his dinner... Then one day... he wasn't in his time at all.,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg,/pZCLGHynFPOv8dve6u9waxknLth.jpg,1985-07-03,8.323,21090,"['Adventure', 'Comedy', 'Science Fiction']",19000000,381109762,116
1184918,tt29623480,The Wild Robot,Discover your true nature.,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,/1pmXyN3sKeYoUhu5VBZiDU4BX21.jpg,2024-09-12,8.3,5516,"['Animation', 'Science Fiction', 'Family', 'Adventure', 'Drama']",78000000,331982078,102
820067,tt15721650,The Quintessential Quintuplets Movie,,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg,/gcgKSyE2iqwfKWMDZ8TJPxeIu0P.jpg,2022-05-20,8.3,424,"['Animation', 'Comedy', 'Romance']",0,17288993,136
3782,tt0044741,Ikiru,A big story of a little man which will grip your soul...,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg,/stiGp1XzkLSYdUUEWTyQOZRkr49.jpg,1952-10-09,8.307,1256,['Drama'],0,55240,143
372754,tt5526028,Dou kyu sei – Classmates,"Sincerely, Slowly, Falling in Love.","Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",/cIfRCA5wEvj9tApca4UDUagQEiM.jpg,/tLmyP7akYmxLwyfTEt2qyj2sOR3.jpg,2016-02-20,8.3,420,"['Romance', 'Animation']",0,1397526,61
207,tt0097165,Dead Poets Society,He was their inspiration. He made their lives extraordinary.,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",/erzbMlcNHOdx24AXOcn2ZKA7R1q.jpg,/hpzQHv8cA7j2Dn2CphOFYmllXzj.jpg,1989-06-02,8.301,12060,['Drama'],16400000,235860116,129
10494,tt0156887,Perfect Blue,"""excuse me... who are you?""","Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.",/6WTiOCfDPP8XV4jqfloiVWf7KHq.jpg,/1YRtgjLb5xxUb2rsNRnr54Oc0B2.jpg,1998-02-28,8.299,2984,"['Animation', 'Thriller']",3000000,683666,82
101,tt0110413,Léon: The Professional,"If you want the job done right, hire a professional.","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",/bxB2q91nKYp8JNzqE7t7TWBVupB.jpg,/2hS80sTgsSmK0T61bd5J9YBc52k.jpg,1994-09-14,8.299,15585,"['Crime', 'Drama', 'Action']",16000000,45284974,111
